"zip","population"
"52593","110"
"52594","371"
"52595","428"
"52601","27899"
"52619","553"
"52620","878"
"52621","681"
"52623","1989"
"52624","354"
"52625","2498"
"52626","1222"
"52627","12350"
"52630","375"
"52631","75"
"52632","12006"
"52635","634"
"52637","2651"
"52638","546"
"52639","1847"
"52640","1331"
"52641","12920"
"52644","373"
"52645","3211"
"52646","415"
"52647","192"
"52649","883"
"52650","813"
"52651","613"
"52652","55"
"52653","3427"
"52654","1630"
"52655","4438"
"52656","2351"
"52657","109"
"52658","957"
"52659","1499"
"52660","214"
"52701","113"
"52720","842"
"52721","727"
"52722","40629"
"52726","4585"
"52727","372"
"52728","1037"
"52729","775"
"52730","5009"
"52731","835"
"52732","25808"
"52737","392"
"52738","3404"
"52739","679"
"52742","7651"
"52745","561"
"52746","933"
"52747","2178"
"52748","9942"
"52749","958"
"52750","593"
"52751","1066"
"52752","405"
"52753","6176"
"52754","1318"
"52755","1996"
"52756","2178"
"52757","247"
"52758","231"
"52759","132"
"52760","579"
"52761","30530"
"52765","436"
"52766","735"
"52767","397"
"52768","1394"
"52769","679"
"52771","46"
"52772","5129"
"52773","2301"
"52774","118"
"52776","5128"
"52777","1322"
"52778","4088"
"52801","1446"
"52802","9967"
"52803","22896"
"52804","25836"
"52806","28191"
"52807","15851"
"56027","786"
"57034","733"
